WKT,gid,access,addr:housenumber,aeroway,ele,landuse,military,name,operator,ref,surface,width
"POINT (-72.5254446 -49.5336239987598)","10893630194",,,aerodrome,,,,Aeroclub El Claltén,,,,
"POINT (-72.3374543 -51.2600738983564)","1042062602",,,aerodrome,,,,Aeródromo Cerro Castillo,,,,
"POINT (-70.644769 -51.8927439983221)","3393337235",,,aerodrome,,,,Aeródromo Bella Vista,,,,
"POINT (-68.9531 -49.9950999986156)","1042058735",,,aerodrome,,,,Aeródromo Piedrabuena,,,,
"POINT (-68.9331107 -52.2920013983391)","1042061330",,,aerodrome,,,,Aeródromo Posesión,,,,
"POINT (-69.507046 -52.1267586983282)","4405109699",,,aerodrome,,,,Aeródromo Monte Aymond,,,,
"POINT (-68.4147354 -52.8856738984238)","1042020302",,,aerodrome,,,,Aeródromo Cullen,,,,
"POINT (-68.5235977 -53.9827002987765)","1042020314",,,aerodrome,,,,Aeródromo Rio Bellavista,,,,
"POINT (-67.836145 -54.3429004989476)","1042020307",,,aerodrome,,,,Aeródromo Los Cerros,,,,
"POINT (-58.7636 -35.4593999999893)","1042021443",,,aerodrome,,,,Aeródromo Bahía Agradable,,,,
"POINT (-57.8503 -36.89030000032)","1042021103",,,aerodrome,"16",,,Aeródromo Maipú,,,,
"POINT (-56.9742212 -37.0968484003681)","1042021183",,km 8,aerodrome,,,,Aero Club Pinamar,,,,
"POINT (-57.6472941 -38.0284366005776)","1042021128",,,aerodrome,,,,Aeródromo Parque Hermoso,,,,
"POINT (-58.007982 -38.0703736005866)","7091075647",,,aerodrome,,,,,,,,
"POINT (-58.1336 -38.3858000006526)","1042020570",,,aerodrome,"13",,,Aeródromo Bellamar,,,,
"POINT (-58.1047837 -38.3140822006379)","1042021766",,,aerodrome,"22",,,Aeródromo Estancia Lucila,,,,
"POINT (-58.8061257 -38.4778155006713)","1042021916",,,aerodrome,"33",,,Aeródromo Iriberri,,,,
"POINT (-58.3722914 -38.4249066006606)","1042021113",,,aerodrome,"15",,,Aeródromo Moromar,,,,
"POINT (-58.6660004 -37.5593987004741)","1042058622",,,aerodrome,"139",,,Aeródromo Estancia La Estrella,,,,
"POINT (-59.3504986 -38.0077635005732)","1042021971",,,aerodrome,"137",,,Aeródromo La Madrugada,,,,
"POINT (-60.5797099 -35.3308542999607)","8641742688",,,aerodrome,,,,Aeródromo Haras Trelliris,,,,
"POINT (-63.6792602 -37.1457255003794)","1042021102",,,aerodrome,,,,Aeródromo Macachin,,,,
"POINT (-65.9229431 -38.1451035006025)","1042059714",,,aerodrome,,,,Aeródromo Puelches,,,,
"POINT (-63.2869 -38.7306000007209)","1042020461",,,aerodrome,"67",,,Aeródromo La Reforma,,,,
"POINT (-63.1618996 -37.7127991005084)","1042020759",,,aerodrome,"198",,,Aeródromo Darregueira,,,,
"POINT (-62.7778347 -37.1948412003908)","4689017691",,,aerodrome,,,,AeroClub Carhué,,,,
"POINT (-61.7649045 -38.2066736006155)","1042022130",,,aerodrome,,,,Aeródromo Saldungaray,,,,
"POINT (-62.1852134 -39.6582577008784)","3693265391",,,aerodrome,,,,,,,,
"POINT (-65.9234604 -47.7889983994386)","2969772492",,,aerodrome,,,,Aeródromo Santa Elena,,,,
"POINT (-65.7491875 -43.3039207009019)","3398839737",,,aerodrome,,,,Aeródromo Dolavon,,,,
"POINT (-67.9632871 -46.7841640998574)","2039486047",,,aerodrome,,,,Aeródromo Pico Truncado,,,,
"POINT (-67.9140634 -46.7757513998608)","4336547412",,,aerodrome,,,,Aeródromo Tres Lagunas,,,,
"POINT (-66.6972301 -47.2144011996797)","3678186357",,,aerodrome,,,,Aeródromo La Pluma,,,,
"POINT (-66.9363016 -47.2082544996822)","3730047598",,,aerodrome,,,,Aeródromo El Moscoso,,,,
"POINT (-66.6936315 -47.0771333997368)","3360853257",,,aerodrome,,,,Aeródromo Mazaredo,,,,
"POINT (-66.810049 -47.1129894997219)","3360853256",,,aerodrome,,,,Aeródromo La Floradora,,,,
"POINT (-66.0759448 -47.5949761995201)","3730047599",,,aerodrome,,,,Aeródromo Tellier,,,,
"POINT (-69.2098891 -46.6525745999107)","3295939995",,,aerodrome,,,,Aeródromo Cañadón Vasco,,,,
"POINT (-70.9478959 -46.5763623999414)","1042021080",,,aerodrome,"387",,,Aeródromo Lago Buenos Aires,,,,
"POINT (-72.5623117 -48.4668760991585)","1042062450",,,aerodrome,,,,Aeródromo Villa O'Higgins,,,,
"POINT (-72.3265168 -48.2019235992666)","1042061683",,,aerodrome,,,,Aeródromo Entrada Mayer,,,,
"POINT (-71.4676953 -45.5519693003263)","10689302739",,,aerodrome,,,,,,,,
"POINT (-71.8559877 -44.2324508007171)","1042061275",,,aerodrome,,,,Aeródromo Lago Verde,,,,
"POINT (-71.0219421 -43.6122208008494)","1042021452",,,aerodrome,"720",,,Aeródromo Estancia Tecka,,,,
"POINT (-71.2455597 -43.7213898008287)","1042021730",,,aerodrome,"740",,,Aeródromo Estancia Caridad,,,,
"POINT (-70.9988861 -39.1005554007888)","1042021243",,,aerodrome,,,,Aeródromo Pulmari,,,,
"POINT (-70.8653729 -39.8456604009046)","1042022162",,,aerodrome,,,,Aeropuerto San Ignacio,,,,
"POINT (-70.9640965 -40.3936076009685)","1042020616",,,aerodrome,,,,Aeródromo Caleufu,,,,
"POINT (-71.1685403 -42.0288690010235)","1042059393",,,aerodrome,"625",,,Aeropuerto El Maitén,,,,
"POINT (-67.7679956 -40.5992746009871)","4115370193",,,aerodrome,,,,Aeródromo Sierra Colorada,,,,
"POINT (-67.2154498 -40.5238473009806)","4115370192",,,aerodrome,,,,Aeródromo Ramos Mexía,,,,
"POINT (-66.15553 -40.698475500995)","1042020382",,,aerodrome,,,,Aeródromo Valcheta - CLOSED,,,,
"POINT (-70.4347229 -38.799446100734)","1042020824",,,aerodrome,,,,Aeródromo Estancia Llamuco,,,,
"POINT (-69.2717925 -38.9387235007598)","9412088004",,,aerodrome,,,,Aeropuerto de Cutral Có,,,,
"POINT (-69.8588318 -36.7752603002931)","1042020550",,,aerodrome,,,,Aerodromo Barrancas,,,,
"POINT (-66.9148493 -28.3385889993856)","9032123977",,,aerodrome,,,,,,,,
"POINT (-66.296747 -30.3489188993215)","1042058957",,,aerodrome,"458",,,Aeródromo Chamical,,,,
"POINT (-68.475626 -31.3501552993591)","2053298051",,,aerodrome,,,,Aeroclub La Laja,,,,
"POINT (-68.477108 -33.2302705995617)","1042021321",,,aerodrome,,,,Aeroclub Rivadavia,,,,
"POINT (-68.4874963 -33.2048009995579)","1042020439",,"100",aerodrome,,,,Aerodromo Rivadavia,,,,
"POINT (-69.1751202 -33.7319925996429)","1042021066",,,aerodrome,,,,Aeródromo La Consulta,,,,
"POINT (-64.6125031 -33.6166686996233)","1042021610",,,aerodrome,,,,Aeroclub Coronel Moldes,,,,
"POINT (-65.2456982 -33.7495355996459)","1042021781",,,aerodrome,"472",,,Aeródromo Estancia Santa Romana,,,,
"POINT (-64.5643997 -31.9652995994068)","1042021466",,,aerodrome,,,,Aeroclub Villa General Belgrano,,,,
"POINT (-64.2582016 -31.4419002993651)","1042058855",,,aerodrome,"486",,,Aeropuerto Capitán Omar Gelardi,,,,
"POINT (-63.8586639 -31.6786669993823)","1042058881",,,aerodrome,,,,Aeródromo Pilar,,,,
"POINT (-62.8906 -33.1566999995508)","1042021079",,,aerodrome,,,,Aeródromo Laborde,,,,
"POINT (-62.6765805 -32.4888558994619)","1042021997",,,aerodrome,"129",,,Aeródromo La Zulema,,,,
"POINT (-61.9533432 -31.879312499399)","1042021510",,,aerodrome,"105",,,Aeródromo Bocca,,,,
"POINT (-61.6325171 -32.1115847994209)","1042020541",,,aerodrome,"73",,,Aeródromo B y B Servicios Agropecuarios,,,,
"POINT (-61.7594373 -32.2458630994347)","1042021535",,,aerodrome,"111",,,Aeródromo Burdisso,,,,
"POINT (-61.6516667 -32.2505555994352)","10259255819",,,aerodrome,"87",,,Aeródromo de Bernardo,,,,
"POINT (-61.8408 -32.581099999473)","1042022027",,,aerodrome,"19",,,Aeródromo Montes De Oca,,,,
"POINT (-61.3178 -33.0768999995391)","1042021724",,,aerodrome,"75",,,Aeródromo Establecimiento La Florencia,,,,
"POINT (-61.6325 -33.9616999996834)","1042021450",,,aerodrome,"103",,,Aeródromo Suboficial Auxiliar Miguel A. Cardone,,,,
"POINT (-61.6316476 -33.9644428996839)","4096326675",,,aerodrome,,,,Aeroclub Villa Cañas,,,,
"POINT (-61.9775 -33.7791999996511)","1042022186",,,aerodrome,"110",,,Aeródromo Savesa,,,,
"POINT (-63.3055556 -33.3883332995862)","10282894001",,,aerodrome,"143",,,Aeródromo Casajus,,,,
"POINT (-63.5056865 -33.4014859995883)","7986275742",,,aerodrome,,,,L.A.D. Estancia 10 de julio,,,,
"POINT (-61.8695727 -34.801155099847)","1042020453",,,aerodrome,,,,Aeródromo Alfredo Sanchez,,,,
"POINT (-61.9149859 -34.7933954998454)","1042020907",,,aerodrome,,,,Aeroclub General Pinto,,,,
"POINT (-61.5334539 -34.8866469998649)","1042021094",,,aerodrome,,,,Aero Club Lincoln,,,,
"POINT (-60.1555735 -34.3552351997572)","1042022201",,,aerodrome,"60",,,Aeródromo Skare,,,,
"POINT (-60.5044 -34.2777999997423)","1042021503",,,aerodrome,"63.7",,,Aeródromo Belingueres Aviación,,,,
"POINT (-60.8634154 -33.88705119967)","1042020779",,,aerodrome,,,,Aeródromo Agrocelta,,,,
"POINT (-60.5819 -34.2360999997343)","1042021847",,,aerodrome,"53.7",,,Aeródromo Fumigaciones Fredy,,,,
