WKT,gid,addr:housename,addr:housenumber,aeroway,amenity,brand,building,disused,layer,name,operator,ref,tourism
"POINT (-72.9429781 -50.2423321985479)","3578627540",,,,hospital,,,,,La Diana,,,
"POINT (-72.2586536 -50.3502465985207)","2783294030",,,,hospital,,,,,CIC Cerro Calafate,,,
"POINT (-72.2701636 -50.3403265985231)","2341469852",,,,hospital,,,,,CIC Formenti,,,
"POINT (-70.7782408 -51.0290563983861)","1653724220",,,,hospital,,,,,,,,
"POINT (-72.2172448 -51.5791888983301)","10126933100",,,,hospital,,,,,Consultorio Externo,,,
"POINT (-72.2192434 -51.5930485983293)","3466724284",,,,hospital,,,,,CIC 28 de Noviembre,,,
"POINT (-72.3428438 -51.529831198333)","2699438591",,,,hospital,,,,,CIC Padre Mujica,,,
"POINT (-69.2482282 -51.6082928983286)","4473457126",,,,hospital,,,,,salita de primeros auxilios Fenton,,,
"POINT (-69.1954116 -51.6370506983273)","3751068658",,,,hospital,,,,,Dispensario Madre Teresa de Calcuta CENIN N°7,,,
"POINT (-68.516627 -50.0228759986076)","7376797828",,,,hospital,,,,,Hospital Seccional Dr. Eduardo Canosa,,,
"POINT (-67.7234995 -49.3051679988386)","638322741",,,,hospital,,,,,Hospital Distrital Dr. Miguel A. Lombardich,,,
"POINT (-67.7418384 -49.3098186988369)","3460103148",,,,hospital,,,,,CIC San Julián,,,
"POINT (-68.3258252 -54.8153936992111)","6348543786",,,,hospital,,,,,Sanatorio San Jorge,Privado,,
"POINT (-67.7087333 -53.7700554986881)","5046394723",,,,hospital,,,,,Clínica Los Alamos,,,
"POINT (-67.7099186 -53.7707136986884)","2037066690",,"748",,hospital,,,,,Clinica Sanatorio Fueguino Del Bicentenario,Privado,,
"POINT (-67.7177828 -53.7884466986954)","4698164295",,,,hospital,,,,,"Centro de Rehabilitación ""Mamá Margarita""",,,
"POINT (-57.338929 -35.3900117999738)","1781516017",,,,hospital,,,,,Geriatrico Punta Indio,,,
"POINT (-58.497557 -35.7628809000578)","5516817778",,,,hospital,,,,,Hospital Juan E. de la Fuente,,,
"POINT (-58.1414018 -36.003233600113)","5546510017",,,,hospital,,,,,Hospital Municipal de Pila,,,
"POINT (-57.8076504 -36.0921016001336)","4640173804",,,,hospital,,,,,Hospital Municipal,,,
"POINT (-57.8749284 -36.8590728003127)","2404106413",,,,hospital,,,,,Hospital De Maipú,,,
"POINT (-57.1439611 -37.0007796003457)","2692185444",,,,hospital,,,,,,,,
